0.00 124.20 161.04 197.61 197.29 221.45 245.60 245.37 245.20 245.07 269.28 269.24 269.26 269.35 269.51 269.75 270.07 270.48 270.99 271.60 272.31 273.13 274.07 275.12 276.29 277.58 278.99 280.54 282.22 284.02 285.97 288.05 290.27 292.62 295.12 297.76 300.53 303.45 306.51 309.70 313.03 316.50 320.09 323.82 327.66 331.62 335.69 339.87 344.14 348.49 352.92 357.41 361.95 366.52 371.10 375.68 380.22 384.70 389.09 393.35 397.45 401.33 404.94 408.22 411.09 413.47 415.25 416.32 416.54 415.73 413.71 410.26 365.44 358.65 349.92 338.68 286.21 269.45 216.40 166.86 101.69 15.02 0.00 
0.00 124.26 161.09 197.66 197.33 221.50 245.65 245.43 245.26 245.13 269.35 269.31 269.34 269.43 269.60 269.84 270.17 270.58 271.09 271.71 272.42 273.25 274.18 275.23 276.40 277.70 279.12 280.66 282.34 284.15 286.09 288.17 290.39 292.75 295.24 297.88 300.65 303.57 306.62 309.81 313.14 316.60 320.19 323.91 327.74 331.70 335.76 339.93 344.19 348.53 352.95 357.42 361.95 366.50 371.07 375.62 380.14 384.60 388.97 393.22 397.29 401.16 404.75 408.02 410.88 413.26 415.05 416.14 416.39 415.65 413.72 410.41 365.79 359.26 350.88 340.16 288.33 272.36 220.27 171.48 106.42 15.39 0.00 
0.00 124.25 148.74 197.65 197.32 221.49 245.65 245.42 245.25 245.14 245.06 245.04 245.07 245.16 245.32 245.55 245.86 246.25 246.72 247.28 247.94 248.70 249.55 250.52 251.58 252.76 254.06 255.47 256.99 258.64 260.41 262.30 264.32 266.46 268.73 271.12 273.64 276.29 279.06 281.95 284.97 288.11 291.36 294.73 298.20 301.78 305.46 309.22 313.07 317.00 320.99 325.03 329.11 333.21 337.32 341.42 345.48 349.48 353.40 357.19 360.83 364.26 367.45 370.33 372.83 374.89 376.40 377.28 377.39 376.60 374.75 371.66 367.15 361.08 353.23 343.06 292.19 241.41 225.49 149.33 112.01 0.00 0.00 
0.00 99.40 148.67 173.01 197.25 221.43 221.18 245.35 245.19 245.07 245.00 244.98 245.02 245.11 245.27 245.50 245.80 246.19 246.67 247.23 247.88 248.64 249.50 250.46 251.52 252.70 254.00 255.40 256.93 258.58 260.34 262.23 264.25 266.39 268.66 271.05 273.57 276.22 278.99 281.88 284.90 288.03 291.29 294.65 298.13 301.71 305.38 309.15 313.01 316.93 320.92 324.97 329.05 333.16 337.28 341.38 345.46 349.48 353.41 357.23 360.90 364.38 367.62 370.57 373.16 375.32 376.96 378.00 378.31 377.77 376.23 373.54 369.52 364.03 356.86 308.53 297.15 246.90 198.76 154.75 93.25 0.00 0.00 
0.00 99.30 148.58 172.91 197.15 221.33 221.07 245.24 245.07 244.94 244.87 244.85 244.88 244.97 245.13 245.36 245.66 246.04 246.51 247.07 247.72 248.48 249.33 250.29 251.35 252.53 253.82 255.23 256.75 258.39 260.16 262.05 264.06 266.20 268.47 270.86 273.38 276.03 278.80 281.70 284.72 287.85 291.11 294.48 297.96 301.54 305.23 309.00 312.86 316.80 320.80 324.86 328.96 333.09 337.22 341.36 345.46 349.52 353.50 357.37 361.10 364.66 367.99 371.05 373.77 376.09 377.94 379.21 379.80 379.60 378.46 376.24 372.79 367.88 361.37 313.68 303.14 253.10 204.34 159.18 93.25 0.00 0.00 
0.00 49.63 123.76 148.16 172.46 196.70 220.90 220.70 220.55 244.77 244.69 244.67 244.69 244.78 244.93 245.15 245.45 245.82 246.29 246.84 247.49 248.24 249.09 250.04 251.10 252.27 253.56 254.96 256.49 258.13 259.89 261.78 263.79 265.93 268.20 270.59 273.11 275.76 278.53 281.43 284.45 287.60 290.86 294.23 297.72 301.31 305.01 308.79 312.67 316.62 320.64 324.72 328.84 333.00 337.17 341.34 345.49 349.59 353.63 357.58 361.39 365.05 368.50 371.70 374.59 377.11 379.20 380.76 381.69 381.88 381.20 379.51 376.65 332.78 327.26 319.94 272.79 225.56 179.85 137.42 47.50 0.00 0.00 
0.00 0.00 98.92 148.00 172.29 196.51 196.29 220.49 220.34 220.23 220.15 220.13 220.16 220.23 220.37 220.57 220.83 221.17 221.59 222.08 222.67 223.34 224.10 224.96 225.91 226.97 228.12 229.38 230.75 232.23 233.82 235.52 237.33 239.25 241.29 243.44 245.71 248.09 250.59 253.20 255.92 258.75 261.69 264.72 267.86 271.10 274.43 277.84 281.33 284.89 288.51 292.19 295.90 299.65 303.42 307.18 310.93 314.65 318.31 321.89 325.36 328.69 331.85 334.80 337.49 339.87 341.87 343.43 344.46 344.85 344.50 343.27 340.98 337.67 333.16 287.72 280.31 233.46 187.60 114.81 0.00 0.00 0.00 
0.00 0.00 24.71 98.61 147.55 171.83 171.64 195.87 195.75 195.65 219.90 219.87 219.89 219.96 220.09 220.28 220.53 220.86 221.27 221.76 222.34 223.00 223.76 224.61 225.56 226.61 227.76 229.02 230.38 231.85 233.44 235.14 236.95 238.87 240.91 243.06 245.33 247.72 250.22 252.83 255.56 258.39 261.34 264.39 267.54 270.79 274.13 277.56 281.07 284.65 288.30 292.00 295.76 299.54 303.35 307.17 310.97 314.76 318.49 322.16 325.74 329.20 332.50 335.62 338.51 341.13 343.42 345.30 346.72 347.56 347.73 347.09 305.57 303.14 299.86 255.98 250.48 205.97 129.41 29.66 0.00 0.00 0.00 
0.00 0.00 0.00 49.26 98.32 147.12 146.96 171.23 171.14 195.40 195.33 195.31 195.32 195.38 195.49 195.66 195.88 196.17 196.53 196.96 197.47 198.06 198.73 199.48 200.32 201.25 202.27 203.39 204.60 205.91 207.31 208.82 210.43 212.14 213.95 215.87 217.88 220.01 222.23 224.55 226.98 229.50 232.12 234.84 237.64 240.54 243.52 246.57 249.70 252.89 256.15 259.46 262.81 266.19 269.60 273.01 276.43 279.82 283.18 286.49 289.72 292.85 295.87 298.73 301.41 303.86 306.05 307.92 309.40 310.43 310.92 310.77 309.90 268.46 266.49 224.06 220.32 140.62 67.36 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 97.96 122.31 146.61 146.55 146.49 170.77 170.76 170.77 170.82 170.91 171.05 171.24 171.49 171.80 172.18 172.62 173.13 173.71 174.37 175.10 175.91 176.80 177.78 178.84 179.98 181.21 182.53 183.93 185.43 187.01 188.69 190.46 192.31 194.26 196.30 198.42 200.63 202.93 205.31 207.77 210.31 212.92 215.60 218.35 221.15 224.02 226.92 229.87 232.85 235.85 238.86 241.87 244.87 247.85 250.78 253.66 256.46 259.16 261.75 264.18 266.45 268.50 270.30 271.80 272.95 273.67 273.92 233.62 233.09 232.43 191.08 150.31 36.61 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 48.87 97.63 97.61 121.96 121.93 121.93 121.94 121.97 122.04 122.14 122.28 122.45 122.67 122.94 123.25 123.62 124.03 124.50 125.02 125.60 126.24 126.93 127.69 128.51 129.38 130.32 131.33 132.40 133.53 134.73 135.99 137.31 138.70 140.16 141.68 143.26 144.90 146.60 148.36 150.17 152.04 153.95 155.92 157.92 159.97 162.05 164.16 166.29 168.43 170.59 172.74 174.89 177.02 179.13 181.19 183.20 185.15 187.01 188.78 190.42 191.92 193.26 194.40 195.31 195.96 196.33 196.35 156.69 157.49 78.39 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 24.34 24.33 24.33 24.34 24.35 24.37 24.39 24.43 24.47 24.52 24.58 24.65 24.74 24.83 24.93 25.05 25.17 25.31 25.46 25.62 25.80 25.99 26.19 26.40 26.63 26.87 27.12 27.38 27.66 27.96 28.26 28.58 28.91 29.25 29.60 29.97 30.34 30.73 31.13 31.53 31.95 32.37 32.80 33.23 33.67 34.11 34.55 34.99 35.43 35.86 36.29 36.71 37.13 37.52 37.91 38.27 38.61 38.93 39.20 39.42 39.58 39.65 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
